GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
all_exercises,default,Test,41,0,0,0,11,0,5,0,5,0
all_exercises,interviewTasks,Fibonachi,45,0,4,0,12,0,5,0,3,0
all_exercises,interviewTasks,IsPalindrome,137,0,10,0,36,0,8,0,3,0
all_exercises,test,AlphabetTest,23,0,0,0,9,0,3,0,3,0
all_exercises,test,arithmeticProgressionTest,67,0,0,0,13,0,3,0,3,0
all_exercises,test,AnomalyTest,195,0,0,0,27,0,5,0,5,0
all_exercises,test,testSplit,87,0,2,0,10,0,4,0,3,0
all_exercises,list,RemoveIf,17,0,2,0,3,0,4,0,3,0
all_exercises,list,arithmeticProgression,62,0,4,0,5,0,4,0,2,0
all_exercises,list,RemoveIfTest,60,0,0,0,16,0,2,0,2,0
all_exercises,list,Alphabet,55,0,4,0,11,0,4,0,2,0
all_exercises,initializer,Initializer,13,0,0,0,5,0,2,0,2,0
all_exercises,initializer,Upper,5,0,0,0,3,0,1,0,1,0
all_exercises,initializer,Lower,18,0,0,0,6,0,2,0,2,0
all_exercises,var.interview.questions,CastPrimitiveType,20,0,0,0,7,0,2,0,2,0
all_exercises,var.interview.questions,StringvsStringBuilder,50,0,2,0,13,0,3,0,2,0
all_exercises,ru.job4j.loop,Task14,3,41,1,7,1,9,2,4,1,1
all_exercises,ru.job4j.streamapi,UserMap.User,0,9,0,0,0,4,0,2,0,2
all_exercises,ru.job4j.streamapi,UserMap,3,14,0,0,1,3,1,2,1,2
all_exercises,ru.job4j.streamapi,CollectorClass,9,17,0,0,3,4,2,1,2,1
all_exercises,ru.job4j.streamapi,AllMatchMethod,3,13,0,2,1,2,1,3,1,2
all_exercises,ru.job4j.streamapi,StreamDerno,83,0,0,0,17,0,5,0,5,0
all_exercises,ru.job4j.streamapi,MapToObj5_4,3,12,0,0,1,4,1,2,1,2
all_exercises,ru.job4j.streamapi,ArbitraryCollector,94,0,4,0,23,0,7,0,5,0
all_exercises,ru.job4j.arrays.Test,PushTheNumbersTest,451,0,0,0,11,0,3,0,3,0
all_exercises,stream,GroupMethod,3,7,0,0,1,2,1,1,1,1
all_exercises,stream,CollectToList,3,5,0,0,1,1,1,1,1,1
all_exercises,stream,SummingMethod,25,0,0,0,6,0,4,0,4,0
all_exercises,stream,CountingMethod.Worker,3,12,0,0,1,5,1,2,1,2
